n,threads,run,time_ms
6400,8,3,230739318.0
6400,8,7,282622401.0
6400,8,11,289440510.0
6400,8,15,262752332.0
6400,8,19,260446837.0
6400,8,23,226307673.0
6400,8,27,235077030.0
6400,8,31,274246858.0
6400,8,35,276591886.0
6400,8,39,276885370.0
6400,8,43,288917396.0
6400,8,47,282812696.0
6400,8,51,228287861.0
6400,8,55,254059667.0
6400,8,59,229022640.0
6400,8,63,269507190.0
6400,8,67,236323090.0
6400,8,71,272523775.0
6400,8,75,257060347.0
6400,8,79,286178640.0
6400,8,83,275958359.0
6400,8,87,264908804.0
6400,8,91,283479763.0
6400,8,95,222013535.0
6400,8,99,244897762.0
6400,8,103,283018254.0
6400,8,107,276145385.0
6400,8,111,232863394.0
6400,8,115,234459439.0
6400,8,119,280413815.0
4800,2,3,219877967.0
4800,2,7,246496385.0
4800,2,11,235371001.0
4800,2,15,219648468.0
4800,2,19,219924055.0
4800,2,23,221526958.0
4800,2,27,220901103.0
4800,2,31,220605113.0
4800,2,35,221683318.0
4800,2,39,221414332.0
4800,2,43,220204351.0
4800,2,47,219880951.0
4800,2,51,219553178.0
4800,2,55,221162109.0
4800,2,59,220624717.0
4800,2,63,220224080.0
4800,2,67,219714300.0
4800,2,71,220851424.0
4800,2,75,221849427.0
4800,2,79,222316587.0
4800,2,83,220285424.0
4800,2,87,220070831.0
4800,2,91,220005979.0
4800,2,95,221976185.0
4800,2,99,222417916.0
4800,2,103,220855924.0
4800,2,107,221317289.0
4800,2,111,220095792.0
4800,2,115,220333386.0
4800,2,119,220539363.0
1600,1,3,3301108.0
1600,1,7,3310682.0
1600,1,11,3221421.0
1600,1,15,3056229.0
1600,1,19,3532476.0
1600,1,23,2950589.0
1600,1,27,3152103.0
1600,1,31,3570003.0
1600,1,35,3585488.0
1600,1,39,3097606.0
1600,1,43,3506847.0
1600,1,47,3371767.0
1600,1,51,3059703.0
1600,1,55,2979271.0
1600,1,59,3578184.0
1600,1,63,3033295.0
1600,1,67,3271701.0
1600,1,71,3434541.0
1600,1,75,3248393.0
1600,1,79,3121364.0
1600,1,83,3213841.0
1600,1,87,3355816.0
1600,1,91,3402011.0
1600,1,95,3130706.0
1600,1,99,3128511.0
1600,1,103,3011829.0
1600,1,107,3053563.0
1600,1,111,3022975.0
1600,1,115,3156522.0
1600,1,119,3052945.0
4800,1,3,697105628.0
4800,1,7,613679702.0
4800,1,11,700168583.0
4800,1,15,695715432.0
4800,1,19,697893166.0
4800,1,23,612996275.0
4800,1,27,706197610.0
4800,1,31,603723280.0
4800,1,35,619573034.0
4800,1,39,698254067.0
4800,1,43,680884829.0
4800,1,47,686935125.0
4800,1,51,629961432.0
4800,1,55,706594075.0
4800,1,59,706803519.0
4800,1,63,701404690.0
4800,1,67,612186357.0
4800,1,71,634362783.0
4800,1,75,701142137.0
4800,1,79,698920611.0
4800,1,83,625730503.0
4800,1,87,691970492.0
4800,1,91,696648097.0
4800,1,95,592545890.0
4800,1,99,605870823.0
4800,1,103,609217986.0
4800,1,107,603332432.0
4800,1,111,699370225.0
4800,1,115,693390165.0
4800,1,119,669419051.0
7200,4,3,391689411.0
7200,4,7,406846141.0
7200,4,11,394986010.0
7200,4,15,392790232.0
7200,4,19,391593808.0
7200,4,23,394854681.0
7200,4,27,404596471.0
7200,4,31,405932305.0
7200,4,35,392458703.0
7200,4,39,390456135.0
7200,4,43,395180491.0
7200,4,47,393675655.0
7200,4,51,393706130.0
7200,4,55,390106273.0
7200,4,59,390821584.0
7200,4,63,392906892.0
7200,4,67,392069029.0
7200,4,71,392628458.0
7200,4,75,390755461.0
7200,4,79,400480400.0
7200,4,83,411450224.0
7200,4,87,394025822.0
7200,4,91,392894266.0
7200,4,95,404664286.0
7200,4,99,392614636.0
7200,4,103,392370263.0
7200,4,107,393933224.0
7200,4,111,394443960.0
7200,4,115,410478230.0
7200,4,119,399398520.0
1600,2,3,2139132.0
1600,2,7,1913843.0
1600,2,11,2985812.0
1600,2,15,2066247.0
1600,2,19,2312496.0
1600,2,23,1927000.0
1600,2,27,2644424.0
1600,2,31,1980711.0
1600,2,35,1936125.0
1600,2,39,4068162.0
1600,2,43,1998366.0
1600,2,47,1900238.0
1600,2,51,2232010.0
1600,2,55,1941201.0
1600,2,59,2304806.0
1600,2,63,1936357.0
1600,2,67,2095093.0
1600,2,71,2339540.0
1600,2,75,2810711.0
1600,2,79,1958932.0
1600,2,83,1959014.0
1600,2,87,2251486.0
1600,2,91,1995101.0
1600,2,95,2055647.0
1600,2,99,2272660.0
1600,2,103,2003941.0
1600,2,107,1928258.0
1600,2,111,1934383.0
1600,2,115,1910353.0
1600,2,119,2018791.0
4800,4,3,107701809.0
4800,4,7,109711651.0
4800,4,11,109531759.0
4800,4,15,109203664.0
4800,4,19,109904839.0
4800,4,23,109783975.0
4800,4,27,110810573.0
4800,4,31,109988511.0
4800,4,35,110287758.0
4800,4,39,109878391.0
4800,4,43,109919307.0
4800,4,47,109961165.0
4800,4,51,110541090.0
