n,threads,mean_time,median_time,std_time,min_time,max_time,runs
800,1,322410.56666666665,322499.0,1569.6756239324798,319097.0,325820.0,30
800,2,164702.56666666668,164147.5,2159.927979056859,161537.0,168685.0,30
800,4,89673.5,89096.5,2718.8896282020805,86280.0,97690.0,30
800,8,70560.93333333333,70144.5,4459.547471501418,61657.0,84633.0,30
800,16,68440.26666666666,68444.0,4137.540081550486,61453.0,83526.0,30
800,20,57243.6,55654.0,4203.226967215907,49647.0,65830.0,30
1600,1,3230383.0,3185181.5,195235.15403049297,2950589.0,3585488.0,30
1600,2,2194028.0,2011366.0,446492.6151643998,1900238.0,4068162.0,30
1600,4,1087116.0333333334,1035026.5,159501.96805130725,951549.0,1702836.0,30
1600,8,652552.1666666666,657040.5,66787.01361796125,567669.0,955603.0,30
1600,16,681403.8666666667,672964.0,52080.44694226181,600865.0,829253.0,30
1600,20,921565.1333333333,901844.0,85216.09093589896,806684.0,1192886.0,30
2400,1,25739141.9,25014281.0,2107869.6517458726,23354508.0,30732591.0,30
2400,2,18038370.5,18057597.0,206000.28620598617,17675711.0,18460895.0,30
2400,4,8358965.233333333,8360288.0,125904.35648174264,8084062.0,8706995.0,30
2400,8,7112965.933333334,7125009.0,179470.2010110897,6524035.0,7352151.0,30
2400,16,5618696.333333333,5556414.0,302732.90036317304,4870979.0,6112834.0,30
2400,20,6234613.566666666,6240638.5,69928.40516122144,6087511.0,6379529.0,30
3200,1,224956408.1,225110906.5,1448707.2238666662,222069152.0,228524642.0,30
3200,2,58233332.36666667,58162158.0,307242.4253803824,57761770.0,58842933.0,30
3200,4,28460417.966666665,28512391.5,275540.5188991385,27739219.0,28940079.0,30
3200,8,27196795.766666666,27658177.5,3131418.2243003333,20201227.0,31413973.0,30
3200,16,20441972.8,20407027.5,598861.4550437047,19538338.0,22465547.0,30
3200,20,20529913.5,20486240.0,496804.961022744,19671957.0,21828783.0,30
4000,1,239282297.16666666,237717801.5,6539178.528657412,227609216.0,259556418.0,30
4000,2,121986907.1,121728009.5,760040.0342454015,121035180.0,124206192.0,30
4000,4,60812225.96666667,60840694.0,476364.91190128867,59156702.0,62010366.0,30
4000,8,52273291.93333333,52694155.5,1544048.0140513543,47274432.0,53942055.0,30
4000,16,42576846.6,42589624.5,1107213.7653132516,39545295.0,45008676.0,30
4000,20,42601452.03333333,42676379.5,946640.3470830676,40914721.0,44863653.0,30
4800,1,663066599.9666667,689452808.5,42356340.35009467,592545890.0,706803519.0,30
4800,2,222057597.1,220614915.0,5395272.815625237,219553178.0,246496385.0,30
4800,4,110321768.96666667,110285159.0,943575.9877438196,107701809.0,113386236.0,30
4800,8,107192363.03333333,110330826.0,8918353.047963452,80789783.0,115878993.0,30
4800,16,79830035.8,79600958.0,3216457.535398309,71022543.0,86342180.0,30
4800,20,76790191.7,76262591.5,2161682.9407358393,72710681.0,82197935.0,30
5600,1,733067795.5333333,727626762.0,14198002.639256187,720298464.0,775842276.0,30
5600,2,360689442.6333333,356752015.5,19856500.398042753,354112722.0,465131867.0,30
5600,4,180876046.16666666,180139423.5,1867270.704948474,177117266.0,185161131.0,30
5600,8,155919507.06666666,159075747.5,9750801.995749464,131616244.0,165964364.0,30
5600,16,125829914.4,125564635.5,4395707.013446444,109633080.0,133486955.0,30
5600,20,122122170.06666666,122560936.0,3000876.1647126363,115502536.0,127806335.0,30
6400,1,1341476560.7333333,1272764096.0,111498708.297825,1211908412.0,1482027218.0,30
6400,2,568733895.9,566191067.0,7996383.30171682,556483461.0,587627906.0,30
6400,4,285472378.93333334,284461794.5,5075810.599890588,271480010.0,296034460.0,30
6400,8,260598734.23333332,267207997.0,22520081.27700076,222013535.0,289440510.0,30
6400,16,231987138.3,229726714.0,11935486.73115,200371255.0,249243126.0,30
6400,20,219592209.1,218860211.5,7436930.541621809,203956016.0,238759156.0,30
7200,1,1486293940.2,1487916438.5,22811766.27874773,1444981930.0,1531738047.0,30
7200,2,778837433.9666667,775863377.5,9883265.1312553,766362265.0,803589257.0,30
7200,4,396160256.7,393690892.5,6214571.144552249,390106273.0,411450224.0,30
7200,8,338850546.56666666,347759647.5,24936450.219871,288980891.0,369428278.0,30
7200,16,288336999.5,287827053.5,10410770.11157098,268844796.0,312669320.0,30
7200,20,302153679.7,302322237.5,14470278.853451144,275700144.0,344670561.0,30
8000,1,2315506031.733333,2153307933.0,510736962.9579548,2087542100.0,4083817540.0,30
8000,2,1056070708.0666667,1050403395.0,11559275.083891591,1043875356.0,1082814583.0,30
8000,4,544379104.0,541061236.0,9049125.775958955,532092947.0,567714945.0,30
8000,8,473653788.46666664,470978499.5,40438655.86717993,407006844.0,545002876.0,30
8000,16,402304892.46666664,404367957.5,17265446.98047959,360593962.0,447082950.0,30
8000,20,438446484.6,440919716.5,25809586.01951449,393038418.0,484362068.0,30
8800,1,3196814066.266667,3298450779.5,169456868.2751482,2852600191.0,3486903995.0,30
8800,2,1428987290.15,1421843162.5,17278218.77802059,1416837339.0,1479131442.0,20
